English,Actual Nepali,Predicted Nepali
Stars are born in a nebula.,ताराहरूकोे जन्म नेबुलामा हुन्छ।,ताराहरू नेबुलामा जन्मिएका छन्।
"""I don’t want to go,"" her friend says.","""त जान मन छैन,"" उसकी साथी भन्छे ।","'म जान चाहन्नँ,' उसको साथी भन्छ ।"
"""The girl walking ahead...""","""अगाडि हिँडिरहेकी जुन केटी छ नि ....'",'अगाडि हिँडिरहेकी केटी ...'
It felt like someone had moved out.,बसाइँ गएजस्तो लाग्यो ।,कसैले बाहिर निस्केजस्तो लाग्यो ।
The ecosystem in water is made by the interrelationship between biotic and abiotic factors called an aquatic ecosystem.,पानीमा हुने जैविक र अजैविक तत्वहरूबीचको अन्तरसम्बन्धबाट बनेको पारिस्थितिक पद्धतिलाई जलीय पारिस्थितिक पद्धति भनिन्छ।,जैविक र जैविक तत्वहरूबीच जल पारिस्थितिक पद्धति भनिएको अन्तरसम्बन्धबाट पानीको पारिस्थितिक पद्धति बनेको हुन्छ।
Perhaps this was the limit of her ability to smile or be happy.,शायद हाँस्नु र खुशी हुनुको उसको सीमा यति नै होला ।,शायद उसको मुस्कान वा सुखी हुन सक्ने क्षमता यस्तो सीमा थियो।
"Before accepting the promotion, David wanted to ensure that he could resume working on projects that truly interested him.","डेविडले पदोन्नतिको स्वीकृति दिनु अघि, उनले यो सुनिश्चित गर्न चाहन्थे कि उनी त्यस्ता परियोजनाहरूमा पुनः काम गर्न सक्छन् जुन साँच्चिकै उनीलाई चासो थियो।",डेविडले प्रवर्द्धनलाई स्वीकार्नुअघि आफूलाई साँच्चै चाखेका आयोजनामा पुनः काम गर्न चाहन्थ्यो।
Service delivery will be further strengthened in public sectors through maximum utilization of information technology.,सार्वजनिक क्षेत्रमा सूचना प्रविधिको अधिकतम उपयोग गरी सेवा प्रवाहलाई थप सुदृढ गरिनेछ।,सूचना प्रविधिको अधिकतम उपयोगबाट सार्वजनिक क्षेत्रमा सेवा प्रवाहलाई थप सुदृढीकरण गरिनेछ।
"When his foot slipped, he felt the fear of losing his rank.",उसले पद चिप्लँदा आफ्नो पद गुमाउने डर महसुस गर्यो।,"जब उसको पद चिप्लियो, उसले आफ्नो पद गुमाउने डर अनुभव गर्यो।"
"""Like coffee!"" he exclaimed. ""And what does real coffee taste like?""","""कफीजस्तो!"" उनी जङ्गिए- ""अनि असली कफी कस्तो हुन्छ?""",'कफीजस्तो !' उनले बोलाए- 'अनि साँचो कफी स्वाद कस्तो लाग्छ ?'
"I handed it to her, and she laughed happily. ""Why is its nose so crooked?"" she asked.",तिनले हेरिन्‌ र मस्त हाँसिन्‌ । 'नाक किन बाड्गिएको यसको :' उने सोधिन्‌ ।,"मैले उसलाई दिएँ, उसले खुशी हाँसेकी थिई- 'किन उसको नाक यति गर्ला ?' उसले भनी ।"
"In 1927 AD, Belgian scientist Georges Lemaitre found that galaxies including the Milky Way are moving away from each other.",सन् १९२७ मा बेल्जियन वैज्ञानिक जोर्ज लमेटरले हाम्रो आकाशगङ्गा र अन्य कयौँ तारापुञ्जहरू एकअर्काबाट टाढा गइरहेको तथ्य पत्ता लगाएका थिए।,सन् १९७२ मा बेल्जियन वैज्ञानिक जोर्ज लेमाइट्रेलाई भेटिएको थियो कि आकाशको बाटो लगायतका ताराहरू एकअर्काबाट
The girl got off and tried to shake out her long black hair amidst the falling siris flowers.,केटी झरी र झरी परिरहेका शिरीषका फूलमा प्याजी सल झिकेर लामो कालो कपाल फरफर पार्न खोजी ।,"त्यो केटी निस्कियो र आफ्नो लामो कालो कपालहरूलाई झुण्ड्याउन खोज्दै थियो, त्यो सिरिस फूलहरूको बीचमा"
Cooking lentils requires hard work and patience.,मासको पकाउनमा परिश्रम र धैर्य आवश्यक पर्छ।,मास पकाउनु कडा परिश्रम र धैर्यको आवश्यकता छ।
I have allocated Rs. 1 billion 250 million for these projects.,यसका लागि रु. १ अर्ब २५ करोड विनियोजन गरिएको छ।,यी परियोजनाका लागि रु. १ अर्ब २५ करोड विनियोजन गरिएको छ।
The meristematic tissue is also found in the lateral side of the root and stem.,बिरुवाको जरा तथा डाँठका छेउको भागमा पनि मेरिस्टमेटिक तन्तुहरू हुन्छन्।,जरा र डाँठको लामो पक्षमा मेरिस्टमेटिक तन्तु पनि पाइन्छ।
After being knocked over by the drunken crowd.,पछारिएको जँड्याहाभैँ ।,रक्स्याहा भीडले तक्क गरेपछि ।
"""A Dutch girl changed me one day here in the gallery,"" I said, ""At first, I didn’t understand what she said, but later I realized that the wall color had disturbed the canvases.""","""एउटी डच केटीले एक दिन यहाँ ग्यालरीमा मलाई परिवर्तन गरिदिई,"" मैले भनेँ- ""उसले भनेको पहिला त मैले बुझिनँ । तर पछि थाहा भयो, भित्ताको रङ्गले ची क्यानभासहरूलाई डिष्टर्व गरेको रहेछ ।""","'एउटी डच केटीले मलाई यहाँ ग्यालरीमा एक दिन परिवर्तन गर्‍यो,' मैले भनेँ- 'सपल्ट उसले भनेको मैले बुझिनँ तर पछि म"
My family left a heritage many years ago.,मेरो परिवारले धेरै वर्ष पहिले नासो छोडेको थियो।,मेरो परिवारले धेरै वर्ष पहिले नासो छोडे।
There was a big parade down Rodeo Boulevard last weekend to kick off the summer season.,पछिल्लो सप्ताहांत रोडेओ बुलेवार्डमा ग्रीष्मकालीन मौसमको सुरुको लागि ठूलो परेड भयो।,ग्रीष्मको मेसोबाट हटाउन पछिल्लो सप्ताहन्तमा रोडेओ बुलिवर्ड ठूलो परमाणु थियो।
The environment is fresh where the ecosystem is balanced.,पारिस्थितिक पद्धति सन्तुलित भएका ठाउँमा वातावरण स्वस्थकर हुन्छ।,पारिस्थितिक पद्धति सन्तुलित हुँदा वातावरण ताजा हुन्छ।
I not only believe in the side but also in its wing.,"म पक्षमा मात्र होइन, त्यसको पक्षमा पनि विश्वास गर्दछु।","म पक्षमा मात्र होइन, उसको पखेटा पनि विश्वास गर्छु।"
The essence of family values strengthens society.,पारिवारिक मूल्यमान्यता र यसको रसले समाजलाई मजबुत बनाउँछ।,परिवारका मूल्यहरूको रस समाजलाई बलियो बनाउँछ।
"In the evening meal, lentils are used as a main dish.",साँझको खानामा मास प्रमुख परिकारको रूपमा प्रयोग हुन्छ।,साँझको भोजनमा मासलाई मुख्य परिकारको रूपमा प्रयोग गरिन्छ।
His duty was to maintain the tent and protect the village.,उसको जिम्मेवारी थियो – पाल हेरचाह गर्ने र गाउँलाई पाल्ने।,उसको कर्तव्य पाल राख्न र गाउँलाई बचाउनु थियो।
"During rest, our body muscles become active again.",विश्रामको समयमा हाम्रो शरीरको मांसपेशीहरू पुनः सक्रिय हुन्छन्।,विश्राम गर्दा हाम्रो शरीरको मांसपेशी फेरि सक्रिय हुन्छ।
"The wind picked up. In the middle of the street, a massive figure was written in chalk letters: “Long live Democracy in Nepal.”",हावा बढ्न थाल्यो । माझसडकमा खरी अक्षरले “लोकतन्त्र नेपाल जिन्दावाद' लेखिएको विशाल आकृति ।,"हावाले उठायो । सडकको बीचमा चल्क पत्रमा एक ठूलो आकृति लेखिएको थियो, “हेपालमा लामो जिउँदो जनशक्ति”।"
"She came again the next day, in the afternoon when I had just left.","त्यसको भोलिपल्ट पनि आएकी रहिछ, अपराहनतिर म भर्खर निस्केको थिएँ ।","भोलिपल्ट फेरि आइपुगेकी थिई, म अहिले हिँडेको बेला ।"
"The lotus was shining like a sword, and a beautiful reflection appeared in the pond’s water.","पुष्कर तलवार जस्तै चम्किरहेको थियो, र पोखरीको पानीमा सुन्दर प्रतिबिम्ब देखिन्थ्यो।","पुष्कर तलवारजस्तै चम्किरहेको थियो, र पुष्करको पानीमा एक सुन्दर प्रतिबिम्ब देखियो।"
I boiled water for coffee.,कफीका लागि पानी उमालेँ ।,मैले कफीको लागि पानी उकालें।
"She was walking down a slope, moving quickly, making it difficult for me to keep up.",अलिबेर ओरालो बर्न रहेछ । उ छिटछिटो हिँडिरहेकी थिई मलाई सकस पार्ने गरी ।,"तल पहाड हिँडिरहेकी थिई, छिटो हल्लिरहेकी थिई, मलाई उठ्न गाह्रो बनाउँथी।"
The number tells us where we are going.,अंकले हामीलाई यो कुरा बताउँछ कि हामी कहाँ जान्छौं।,अंकले हामीलाई कहाँ जाने भन्छ।
"In this way, the living beings are classified in a five kingdom system.",यसरी पाँच जगतीय वर्गीकरण प्रणालीमा सजीवहरूको विभाजन गरिएको छ।,यसरी सजीवहरूलाई पाँच जगत् प्रणालीमा वर्गीकरण गरिन्छ।
"I am undoubtedly old, what to do?","बूढो त म निश्चय नै भएको हो, कसो गर्ने?","म अवश्य बूढो छु, के गर्नुपर्छ ?"
"After winning the war, the king threw away his sword and meditated near the pond.",त्यो राजाले युद्ध जितेपछि तलवार फालेर पुष्करको नजिक ध्यान गरे।,राजाले युद्ध जितेपछि तलवार फालेर पुष्करछेउमा ध्यान गरे।
The method of cooking reveals a unique flavor of lentils.,पकाउने विधिमा मासको स्वाद अनौठो देखिन्छ।,पकाउने विधिले मासको एक अद्वितीय स्वाद प्रकट गर्छ।
Know the method of his work well.,उहाँको कामको तरिका राम्ररी जान्नुहोस्।,उसको कामको विधि राम्रोसँग थाहा पाउनुहोस्।
This net is torn.,यो पर्दा फाटेको छ।,यो जाल फालिएको छ।
The coal used for heating water in the steam engine caused excessive air pollution.,माथि उल्लिखित बास्प इन्जिनमा पानी तताउन प्रयोग हुने कोइलाले अत्यधिक मात्रामा वायु प्रदूषण गर्‍यो।,बाफ इन्जिनमा प्रयोग गरिएको काँधले अत्यधिक हावा प्रदूषण गर्यो।
"When resting, the organs of the body become active again.",विश्राम गर्दा शरीरका अंगहरू पुनः सक्रिय हुन्छन्।,विश्राम गर्दा शरीरका अङ्गहरू फेरि सक्रिय हुन्छन्।
Any mushrooms whether they are poisonous or not can be confirmed only after a laboratory test.,प्रयोगशालामा परीक्षण गरेर मात्र कुनै च्याउ विषालु हो वा होइन भनी एकिन गर्न सकिन्छ।,कुनै च्याउ विषालु छैन कि छैन भने प्रयोगशाला परीक्षणपछि मात्र पुष्टि गर्न सकिन्छ।
"In natural events, the foul smell of dirt and sin also spreads.",प्राकृतिक घटनामा मल र पापको जस्तो दुर्गन्ध पनि फैलिन्छ।,प्राकृतिक घटनामा मल र पापको गन्ध पनि फैलिन्छ।
"Seeing her in that state was like seeing a real serpent; it made my skin crawl, but now we were separated by the distance between where I saw her and where she lay.","उसलाई त्यस अवस्थामा देख्नासाथ साँच्चैको सर्प देखेजस्तै मेरो आङ एकपल्ट सिरिक्ग भयो, तर अहिले हामी मैले हेरेको ठाउँदेखि पल्टेको ठाउँसम्म भएको दुरीले अलग थियौं एक-अर्कादिखि।","त्यस अवस्थामा उसलाई देख्नासाथ एउटा वास्तविक सर्प देख्नुजस्तो थियो, त्यसले मेरो छाला क्लियो, तर अहिले मैले उसलाई देख"
He narrows his eyes and inspects my body.,गई कोर्दै । अनि मेरो शरीर जाँच गर्छ ।,उसले आँखा साँघुरेर शरीरलाई जाँच गर्छ।
The company plans to project a positive image through their new marketing campaign.,कम्पनीले आफ्नो नयाँ विपणन अभियान मार्फत सकारात्मक छवि प्रक्षिप्त गर्ने योजना बनाइरहेको छ।,कम्पनीले आफ्नो नयाँ मार्केटिङ अभियानबाट सकारात्मक चित्र प्रक्षिप्त गर्ने योजना बनाएको छ।
"It helps the secretion of hormones, digestive juices, and saliva.","यसले हर्मोन, पाचक रस र ¥याल स्राव गर्न मदत गर्छ।","यसले हर्मोन, पाचन रस र खालको स्राव गर्न मदत गर्छ।"
He gave his shoes a high-polish finish for the interview.,उसले अन्तरवार्ताका लागि आफ्नो जुत्तामा उच्च-चमक finish दिएको थियो।,उसले आफ्नो जुत्ताहरूलाई अन्तरवार्ताका लागि उच्च पोलिश फन्च दियो।
The policy to reduce taxes is expected to be cost-effective.,त्यो कर घटाउने नीति सस्तो हुने अपेक्षामा छ।,कर न्यूनिकरणका नीति खर्च प्रभावी हुने अपेक्षा गरिएको छ।
"After the formation of organic molecules, very simple viruses were evolved.",जैविक अणु बनेपछि अति सरल सूक्ष्म जीवाणुको उत्पत्ति हुन गयो।,जैविक अणुहरू बन्द गरेपछि निकै सरल भाइरसहरूको विकास भयो।
"Bumblebees, black-bees, hornets must not come near it.","भँवरा, मौरी, अरिंगाल यहाँ आउनै नपाउँन् ।","बम्बलबी, कालोपिउ, रङ्गहरू त्यसलाई नजिक आउनु हुँदैन।"
The family death cases due to the consumption of poisonous mushrooms come out in the communication media each year.,प्रत्येक वर्ष विषालु च्याउ खाएर मानिसको अकालमा नै ज्यान गएका घटनाहरू विभिन्न सञ्चारका माध्यमबाट सुनिन्छ।,हरेक साल सञ्चार सञ्चारमार्फत परिवारको मृत्यु कसले विषालु च्याउ खपत गर्दा बाहिर आउँछ।
His work earned him a great position in society due to his honor.,उसको कार्यको मानले उसलाई समाजमा ठूलो स्थान दिलायो।,उसको कामले उसको मानका कारण समाजमा ठूलो पद कमायो।
The elderly woman went to the other corner and pressed another radio.,वृद्धाले अर्को कुनामा गएर अर्को रेडियो थिचिन्‌ ।,वृद्धाले अर्को कुनामा गई र अर्को रेडियो दबाउँदै ।
"The ongoing construction of the Gautam Buddha Stadium in Bharatpur will proceed in collaboration with province, and local levels.","भरतपुरमा निर्माणाधीन गौतम बुद्ध रङ्गशाला संघ, प्रदेश र स्थानीय तहको साझेदारीमा निर्माण कार्य अगाडि बढाइनेछ।",भारतपुरको गौतम बुद्ध स्टेडियमको निरन्तरता प्रदेश र स्थानीय तहसँगको सहकार्यमा निर्माण कार्य गरिनेछ।
This is called a water bath.,जसलाई वाटरबाथ भनिन्छ।,यसलाई पानीको बाथ भनिन्छ।
"When tika is applied, one receives blessings for peace and prosperity.",टीका लगाउँदा शान्ति र समृद्धिको आशीर्वाद प्राप्त हुन्छ।,टीका लगाउँदा शान्ति र समृद्धिको वरदान प्राप्त हुन्छ।
Cut into small pieces.,साना साना टुक्रा पार्ने।,साना टुक्रा काट।
A spider’s web comes in various sizes and colors.,माकुराको जाल विभिन्न आकारका र रंगका हुन्छन्।,माकुराको जाल विभिन्न आकार र रङ्गहरूमा आउँछ।
I still have to win her heart and steal it.,उसको मन चियाउन र चोर्न बाँकी छ।,मैले अझै उसको मन जित्न र चोर्नुपर्छ।
"She said ""Thank you"" and left.",'ध्याङ्क यु' भनेर निस्की ।,'धन्यवाद' भनी र गई ।
"""I thought,"" I said, ""You should eat four to five apples a day.""","“मैले ठानेको थिएँ, मैले भनेँ- 'दिनको चार-पाँचपल्ट कोपरिनुपर्ला ।'","'मैले सोचेको थिएँ,' मैले भनेँ- 'दिन चार-पाँच स्याउ खानुपर्छ ।'"
The difference between time and death affects various aspects of life.,समय र कालको असमानता जीवनका विभिन्न पक्षलाई प्रभाव पार्दछ।,समय र कालका बीचको भिन्नता जीवनका विभिन्न पक्षमा असर पुर्याउँछ।
Those who make mistakes should be punished according to the law.,गल्ती गर्नेहरूलाई कानूनअनुसार दण्ड दिनुपर्छ।,गल्ती गर्नेलाई कानुन अनुसार दण्ड दिनुपर्छ।
Caution should be taken while exchanging currency at the bank.,बैंकमा मुद्राको सट्टापट्टा गर्दा सावधानी अपनाउनु पर्छ।,बैंकमा मुद्राको सट्टापट्टा गर्दा सावधानी अपनाउनु पर्छ।
"Just recently, they were kidnapped.",अस्ति भर्खर उनीहरू जना अपहरित भए ।,पछिल्लो भए तिनीहरूलाई अपहरण गरियो।
"She said, ""It's a solo.""",उसले भन्यो- 'सोलो हो ।',उसले भनी- 'एकै छ ।'
"When camping, be sure to pack out all your non-biodegradable refuse to avoid polluting the environment.","क्याम्पिङ गर्दा, कृपया सबै गैर-बायोडिग्रेडेबल फोहोरलाई वातावरण प्रदूषणबाट बच्न बाहिर लानुहोस्।","क्याम्प्पिङ गर्दा, वातावरणलाई अशुद्ध बनाउन सकिने आफ्नो सबै गैर-जाइओडेडिडेड गरिएको अस्वीकार प्याक गर्नुहोस्"
"Thinking that the girls in this house are remarkable, I reached the front yard.",यो घरमा केटीहरू अनौठा-अनौठा छन् भनेर सोच्दै म सामुन्नेको चौकमा आइपुगिसकेको थिएँ।,यो घरमा रहेका केटीहरू निकै उत्कृष्ट छन्‌ भन्ने सोचेर म अगाडिको आँगनमा पुगेँ ।
I think it is necessary to institutionalise the achievements of economic reforms initiated in the past and make the economy strong and resilient in view of the changing global economy and Nepal's actual needs.,विगतमा सुरु गरेका आर्थिक सुधारका उपलब्धिहरूलाई संस्थागत गर्दै बदलिंदो विश्व अर्थव्यवस्था र नेपालको वर्तमान आवश्यकतालाई दृष्टिगत गरी अर्थतन्त्रलाई सबल र उत्प्रेरित बनाउन आवश्यक ठानेको छु।,"मलाई लाग्छ, विगतमा initiated आर्थिक सुधारको उपलब्धिलाई संस्थागत गर्न र विश्वव्यापी अर्थतन्त्र परिवर्तन गर्न र नेपालको वास्तविक आ"
Brain is covered by three layers of membrane known as meninges.,मस्तिष्कलाई तीन तहको झिल्लीले ढाकेको हुन्छ।,मस्तिष्कलाई मेनिन्जेस भनिन्छ भनेको तीन तहका झिल्लीले ढाकेको हुन्छ।
"Stupid Kapil, always causing trouble in the gallery.","मोरो कपिल, बित्थामा सङ्कट निम्त्याइरहन्छ ।","हुस्सु कपिल, सधैं ग्यालरीमा कठिनाइ हुन्छ।"
Will he be able to beat the champion of all times?,के ऊ सबै समयका च्याम्पियनलाई पराजित गर्न सक्षम हुनेछ?,के उनी सधैं च्याम्पियनलाई हराउन सक्छन्‌ ?
Prepare it in groups of your friends.,यसपछि साथीहरूको समूह बनाउनुहोस्।,आफ्ना साथीहरूको समूहमा तयारी गर्नुहोस्।
There are many things for your side.,पक्षका लागि धेरै चिजहरू छन्।,तपाईंको पक्षमा धेरै कुरा छ।
"But before that, the boatman’s heart is uncertain, who is there, and whose post is it?","तर त्यसअघि मैले डुङ्गावालको चित्त छैन त्यहाँ कसको, कुन पक्षको चौकी छ ?","तर त्यसको अघि डुङ्गावालको मन अनिश्चित छ, को त्यहाँ छ र कसको पोस्ट हो ?"
"It causes excessive sweating, increased appetite, weight loss, mental instability, and protruding eyes.","अत्यधिक पसिना आउँछ, बढी भोक लाग्छ, तौल घट्छ, मानसिक अस्थिरता हुन्छ, आँखा बाहिर निस्कन्छ आदि हुन्छ।","यसले अत्यधिक पसिना हुन्छ, स्वाद बढ्दै जान्छ, त्यसलाई बढाउँछ, मानसिक अस्थिरता र ठूलो आँखा हुन्"
"As the age of stars increases, the hydrogen of its core is continuously changing into helium.",ताराको बढ्दो उमेरसँगै कोरमा हुने हाइड्रोजन निरन्तर हिलियममा रूपान्तरण हुँदै जान्छ।,"ताराहरूको उमेर बढ्दा, यसको कोरमा हाइड्रोजन हिलियममा निरन्तर परिवर्तन भइरहेको छ।"
Try to recognize our language and culture.,हाम्रो भाषा र संस्कृति चिन्ने प्रयास गर।,हाम्रो भाषा र संस्कृतिलाई चिन्न खोज्नुहोस्।
You should pay great attention when transporting books.,तिमीले पुस्तकहरू ढुवानी गर्दा ठूलो ध्यान दिनु पर्छ।,तिमीले पुस्तकहरू यातायात गर्दा ध्यान राख्नु पर्छ।
"Because of the loss at the riverbank, I will always remember that time.",घाटका कारणले म त्यो समयको यादलाई सधैं सम्झन्छु।,घाटको कारण म सधैं त्यो समयलाई सम्झनेछु।
There is a need for a systematic method of dispersing seeds.,बिउलाई व्यवस्थित तरिकाले फैलाउने उपाय आवश्यक छ।,बिउलाई फैलाउने व्यवस्थापन गर्नुपर्छ।
Water is essential for the conduction of biochemical processes in the body.,शरीरमा हुने विभिन्न जैविक रासायनिक प्रक्रियाहरू सञ्चालन गर्नका लागि पानी आवश्यक पर्दछ।,शरीरमा जैविक रसायनिक प्रक्रियाहरू सञ्चालन गर्नका लागि पानी अनिवार्य हुन्छ।
I was amazed by the intricate designs that ornament the walls of the ancient temple.,म मन्दिरको पुरानो पर्खालमा सजाएका जटिल डिजाइनहरूबाट अचम्मित थिए।,प्राचीन मन्दिरको भित्तालाई आभूषण गर्ने जटिल डिजाइनहरूले म अचम्मित भएँ।
That person has a strangely shaped mole on his forehead.,त्यो व्यक्तिको निधारमा अनौठो आकारको कोठी छ।,त्यस मानिसको निधारमा अनौठो आकारको कोठी छ।
"But there’s a problem, the girl I like is not insignificant either.","तर समस्या छ, मैले मन पराएकी केटी पनि कम छैन ।","तर एउटा समस्या छ, मलाई मनपर्ने केटी पनि निस्सार्य छैन ।"
"The capacity of agencies involved in agricultural research, including the Nepal Agricultural Research Council, will be enhanced.",कृषि अनुसन्धानमा संलग्न कृषि अनुसन्धान परिषद् लगायतका निकायको क्षमता अभिवृद्धि गरिनेछ।,नेपाल कृषि अनुसन्धान सम्बन्धित कृषि अनुसन्धानमा संलग्न निकायको क्षमता अभिवृद्धि गरिनेछ।
I felt a great relief.,मैले धेरै ठूलो वल पाएको अनुभव गरेँ ।,मलाई धेरै छुटकारा लाग्यो।
Aesthetic essence reflects the cultural diversity of our society.,रसले हाम्रो समाजको सांस्कृतिक विविधतालाई झल्काउँछ।,रसले हाम्रो समाजको सांस्कृतिक विविधता प्रतिबिम्बित गर्छ।
"To remove the prince’s arrogance, they gave him alcohol.","राजकुमारको मद हटाउन, उसलाई मदिरा दिए।","राजकुमारको मद हटाउन, तिनीहरूले उसलाई मदिरा दिए।"
His motivation had an affective impact on our group.,उसको प्रेरणाले हाम्रो समूहको मनोबल उच्च बनायो।,उसको प्रेरणाले हाम्रो समूहमा प्रभावकारी प्रभाव पारेको थियो।
Would I be happy by committing suicide?,कै म आत्महत्या गरेर सुखी हुन्छु?,के म आत्महत्या गरेर सुखी हुन्छु ?
The aural experience of the concert was impressive.,सङ्गीत समारोहको श्रवण अनुभव प्रभावशाली थियो।,कन्सर्टको श्रवण अनुभव आकर्षक थियो।
I have allocated Rs. 21 billion 600 million for post-earthquake reconstruction.,भूकम्पपछिको पुनर्निर्माणका लागि रु. २१ अर्ब ६० करोड विनियोजन गरिएको छ।,भूमि-क्विक पुनर्निर्माणका लागि रु. २१ अर्ब ६० करोड विनियोजन गरिएको छ।
She poked it right in my chest.,छातीमै घोचेजस्तो भयो ।,उसले मेरो छातीमा त्यसलाई ठीकै पोइल्यो।
The master gives orders.,उस्तादले उर्दी सुनाउछ।,स्वामीले आदेश दिन्छ।
I sit back and stare.,फछेउ बसिरहन्छु ।,म पछाडि बसेर हेर्छु ।
Those who violate norms should be separated from society.,चुक गर्नेहरूलाई समाजबाट अलग गरिनु पर्छ।,मापदण्ड चुक गर्नेलाई समाजबाट छुट्याउनु पर्छ।
She mixed all the ingredients well.,उसले सबै मिश्रणलाई राम्रोसँग मिक्स गर्‍यो।,उनले सबै सामग्री राम्रोसँग मिसाइन्।
The minute details of the painting made it a masterpiece.,चित्रकलाका मिनेट विवरणहरूले यसलाई एक उत्कृष्ट कृति बनाएको थियो।,चित्रको मिनेटको विवरणले यसलाई महत्त्वपूर्ण बनायो।
"""It's coming,"" she said, ""Father said our food is coming.""","'आउनु ले,' उसले भनी- 'बाले भन्नुभा'को हाम्लो घल आउनु ले ।'","आउँछ,' उसले भनी- 'बाले भन्यो कि हाम्रो खाना आउँछ ।'"
Each season has its own characteristics.,हरेक मेसोसँग विभिन्न विशेषताहरू हुन्छन्।,प्रत्येक मेसोमा आफ्नै विशेषता हुन्छ।
One should not violate moral values; honesty is important.,"नैतिक चुक गर्नुभएन, इमान्दार हुनुपर्छ।","नैतिक मान्यताहरू चुक गर्नु पर्दैन, इमानदारता महत्त्वपूर्ण छ।"
"Though her eyes behind glasses seemed like those of a sly cat, she was not straightforward or piercing.","चस्माभित्र उसका आँखाहरू चल्दाचल्दैखैरिको बिरालोजस्तो लागे तापनि क सोझै झम्टिने, चिधोर्ने खालकी थिइन।","उनका आँखाहरूको गिलास पछाडि स्लीली बिरालोको जस्तो लाग्थ्यो भने तापनि उनी सिधा थिएनन्‌, पनि पोखिरहेकी"
"So, the process of dividing living beings into groups and subgroups according to their similar and dissimilar properties is called classification of living beings.",यसरी सजीवहरूलाई तिनीहरूमा पाइने समान र असमान विशेषताहरूका आधारमा समूह र उपसमूहमा विभाजन गरिने प्रक्रियालाई सजीवको वर्गीकरण भनिन्छ।,त्यसैले सजीवहरूलाई यिनीहरूको समान र विभिन्न गुण अनुसार समूह र उपसमूहमा विभाजन गर्ने प्रक्रिया सजीवहरूको वर्गीकरण भनि
The message written on the water-soaked pages of the letter and the glimpse of the tree's leaves appeared in the same image.,पानीले भरिएको पत्रका पानामा लेखिएको सन्देश र वृक्षका पत्रहरूको झल्को एउटै चित्रमा देखिएका थिए।,पत्रका पानीका पानामा लेखिएको सन्देश र वृक्षका पत्रहरूको झल्को झल्काउने सन्देश एउटै चित्रमा प्रकट भयो।
"Heat and light are produced in these stars as well, just like the Sun.",ती तारामा पनि हाम्रो सौर्यमण्डलको सूर्य जस्तै ताप र प्रकाश उत्पन्न हुन्छ।,"यी ताराहरूमा पिउँदै आँखा र प्रकाश उत्पन्न हुन्छ, जस्तै सूर्यको जस्तो छ।"
"Even with anger and worry, we are completing the ritual.",मन्यु र चिन्ता भए पनि हामीले यज्ञ पुरा गरिरहेका छौं।,मन्यु र चिन्ताका साथ पनि हामी यज्ञलाई सम्पन्न गर्दैछौं।
"At the tail end of the queue entering an old historical church in Goa, I saw Palpasa standing right in front of me.",पुरानो गोआको एउटा ऐतिहासिक चर्च प्रवेश गर्न दर्शक-पङ्क्तिको पुछार बन्दा मैले पल्पसालाई ठिक्क आफना अगाडि उभिएको देखेँ ।,गोआको पुरानो इतिहासिक चर्चमा प्रवेश गर्ने कूरको ढाडको अन्त्यमा मैले पल्पसालाई आफ्नो अगाडि उभिरहेको देखेँ
"Anyway, why tease him? I immersed myself in the computer.","भैहाल्यो, उसलाई किन जिस्क्याउने ? कम्प्युटरमै मग्न भएँ ।",जे होस्‌ किन उसलाई जिस्क्याउनुभयो ? मैले आफूलाई कम्प्युटरमा बाँधेँ ।
"He began, ""My second sister""","क भन्दै थियो, ""मेरी माहिली बहिनी!""",उसले सुरु गर्यो- 'मेरी दोस्रो बहिनी'
"The stopwatch, short scale, and protractor are shown in the diagram.","चित्रमा स्टपवाच, छोटो स्केल र प्रोट्याक्टर देखाइएको छ।","चित्रमा स्ट्यापवेच, छोटो मापन र प्रोट्राक्टरको देखाइएको छ।"
"""It’s a one-day program. We’ll return the day after tomorrow,"" he said.","'एकै दिनको कार्यक्रम हो, पर्सिपल्ट फर्किन्छौँ,' उसले भन्यो।","'एकै दिनको कार्यक्रम हो । भोलिपल्ट हामी फर्किन्छौं,' उसले भन्यो ।"
It was a cassette. It began to play.,क्यासेट रहेछ । घन्किन थाल्यो-,क्यासेट थियो । खेल्न थाल्यो ।
Put a drop of glycerin in the slide and place a thin section on it.,कही समयपछि सबभन्दा पातला सेक्सन छानी स्लाइडमा राखी एकथापा ग्लिसरिन राख्नुहोस्।,स्लाइडमा एउटा डोप ग्लाइसेरिन राख्नुहोस् र त्यसमा पातलो खण्ड राख्नुहोस्।
He has a cat that lives under his bed.,उससँग एक बिरालो छ जुन उसको ओछ्यानको मुनि बस्छ।,उसको खाटमुनि बस्ने बिरालो छ।
"Without saying anything, she started walking. She looked at me and asked, ""Your friends are probably already ahead, right?""",जै केही नबोली हिँडे । उसले मलाई हेर्दै सोधी- 'तिम्रा साथीहरू काँ पुगिसङ्ग,"केही भन्न नबोली हिँड्न थाल्यो । मलाई हेरी र सोधी- 'तपाईका साथीहरू शायद अगाडि छन्‌, हगि ?'"
The teacher asked us to stop reading and pay attention.,शिक्षकले हामीलाई पढ्न रोक्न र ध्यान दिन आग्रह गरे।,गुरुले हामीलाई पढ्न छाड्न र ध्यान दिनु भने।
